contestId,index,name,tags,rating,solved
2001,C,Guess The Tree,"['binary search', 'brute force', 'dfs and similar', 'divide and conquer', 'dsu', 'greedy', 'interactive', 'trees']",1500.0,740
2001,B,Generate Permutation,['constructive algorithms'],800.0,738
2001,A,Make All Equal,"['greedy', 'implementation']",800.0,764
2000,H,Ksyusha and the Loaded Set,"['binary search', 'brute force', 'data structures', 'implementation']",2200.0,405
2000,G,Call During the Journey,"['binary search', 'brute force', 'graphs', 'greedy', 'shortest paths']",2100.0,387
2000,F,Color Rows and Columns,"['dp', 'greedy', 'implementation', 'math']",1900.0,423
2000,E,Photoshoot for Gorillas,"['combinatorics', 'data structures', 'greedy', 'math']",1400.0,413
2000,D,Right Left Wrong,"['greedy', 'implementation', 'two pointers']",1200.0,419
2000,C,Numeric String Template,"['data structures', 'strings']",1000.0,403
2000,B,Seating in a Bus,['two pointers'],800.0,409
2000,A,Primary Task,"['implementation', 'math', 'strings']",800.0,425
1999,G2,Ruler (hard version),"['binary search', 'interactive', 'ternary search']",1700.0,463
1999,G1,Ruler (easy version),"['binary search', 'interactive']",1500.0,440
1999,F,Expected Median,"['combinatorics', 'math']",1500.0,417
1999,E,Triple Operations,"['dp', 'implementation', 'math']",1300.0,413
1999,D,Slavic's Exam,"['greedy', 'implementation', 'strings']",1100.0,407
1999,C,Showering,"['greedy', 'implementation']",800.0,408
1999,B,Card Game,"['brute force', 'constructive algorithms', 'implementation']",1000.0,406
1999,A,A+B Again?,"['implementation', 'math']",800.0,441
1998,E2,Eliminating Balls With Merging (Hard Version),"['binary search', 'brute force', 'data structures', 'divide and conquer', 'greedy', 'implementation']",2500.0,345
1998,E1,Eliminating Balls With Merging (Easy Version),"['binary search', 'brute force', 'data structures', 'divide and conquer', 'greedy']",2200.0,596
1998,D,Determine Winning Islands in Race,"['data structures', 'dp', 'graphs', 'greedy', 'shortest paths']",2100.0,623
